mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.8423381805419923,0.3304220147469075,0.2834918022155762,0.13864929769163767,300,2,1,log2,10,balanced_subsample,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'class_weight': 'balanced_subsample'}",0.9951002753983138,0.9902356902356902,0.9884681329374067,1.0,1.0,0.994760819714282,0.00479766513970735,14
1.1943907260894775,0.2613565022471489,0.3800037860870361,0.18112368648627886,200,10,1,log2,20,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None}",0.9951002753983138,0.9951002753983138,0.9884681329374067,1.0,0.9951347996040734,0.9947606966676215,0.0036719814308688154,15
3.3428032398223877,0.11901406121674048,0.36542363166809083,0.09443826745547285,500,5,4,sqrt,15,balanced_subsample,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15, 'class_weight': 'balanced_subsample'}",0.9901641568308235,0.9951347996040734,0.9884681329374067,1.0,1.0,0.9947534178744608,0.004811752771918856,16
2.857794761657715,0.2883036990952442,0.23671445846557618,0.039197834284908355,500,2,4,sqrt,20,balanced_subsample,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",0.9901641568308235,0.9951347996040734,0.9884681329374067,1.0,1.0,0.9947534178744608,0.004811752771918856,16
1.577073097229004,0.3377295295658911,0.22939209938049315,0.030307549343708922,200,5,2,sqrt,15,balanced_subsample,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'class_weight': 'balanced_subsample'}",0.9901641568308235,0.9951347996040734,0.9884681329374067,1.0,1.0,0.9947534178744608,0.004811752771918856,16
1.1350077152252198,0.20835041924664782,0.13664555549621582,0.09388896409574503,200,5,2,sqrt,30,balanced_subsample,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': 'balanced_subsample'}",0.9901641568308235,0.9951347996040734,0.9884681329374067,1.0,1.0,0.9947534178744608,0.004811752771918856,16
2.6109602451324463,0.3823999713181609,0.2440944194793701,0.01404559278130359,500,5,2,log2,30,balanced,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'class_weight': 'balanced'}",0.9951002753983138,0.990302300695559,0.9884681329374067,1.0,0.9951347996040734,0.9938011017270705,0.004063867783846727,20
2.4270580768585206,0.22474091450149403,0.2712562084197998,0.0996306039247366,500,2,4,sqrt,10,balanced,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': 'balanced'}",0.9951002753983138,0.990302300695559,0.9884681329374067,1.0,0.9951347996040734,0.9938011017270705,0.004063867783846727,20
1.4192793846130372,0.12651749585805494,0.21288442611694336,0.03850363640390132,300,2,4,sqrt,,balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced'}",0.9951002753983138,0.9902356902356902,0.9884681329374067,1.0,0.9951347996040734,0.9937877796350968,0.004075408442770476,22
1.1896355628967286,0.08854604375347,0.14070277214050292,0.018473927234366035,200,5,2,sqrt,30,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': 'balanced'}",0.9951002753983138,0.9902356902356902,0.9884681329374067,1.0,0.9951347996040734,0.9937877796350968,0.004075408442770476,22
1.6534833908081055,0.08119610805670971,0.16645474433898927,0.01114021090270775,500,10,1,log2,,,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'class_weight': None}",0.9901641568308235,0.9902356902356902,0.9884681329374067,1.0,1.0,0.9937735960007841,0.005123065101364539,24
